AsianMint,1,8,2010,Arlington,4,2,,Thai,4,11,3.363636364,0,1,5,5,0,0,0,0,0,0,0,0
AsianMint,1,8,2011,Arlington,4,2,,Thai,1,24,3.458333333,1,4,5,11,3,1,2,0,1,0,0,0
AsianMint,1,8,2012,Arlington,4,2,,Thai,14,41,3.902439024,2,1,7,20,11,4,3,1,1,0,1,1
AsianMint,1,8,2013,Arlington,4,2,,Thai,10,45,3.644444444,1,6,10,19,9,6,3.5,1,1,0,2,2
AsianMint,1,8,2014,Arlington,4,2,,Thai,9,38,3.736842105,1,4,7,18,8,9,3.444444444,2,0,1,4,2
AsianMint,1,8,2015,Arlington,4,2,,Thai,10,44,3.886363636,1,3,9,18,13,4,4.75,0,0,0,1,3
AsianMint,1,8,2016,Arlington,4,2,,Thai,7,44,3.977272727,1,2,10,15,16,10,2.6,5,1,0,1,3
AsianMint,1,8,2017,Arlington,4,2,,Thai,3,32,3.8125,1,5,4,11,11,3,4,0,0,1,1,1
AsianThai2Go,1,5,2012,Richardson,4,1,,Thai,3,8,4.25,0,1,1,1,5,0,0,0,0,0,0,0
AsianThai2Go,1,5,2013,Richardson,4,1,,Thai,1,7,3.571428571,0,0,3,4,0,1,4,0,0,0,1,0
AsianThai2Go,1,5,2014,Richardson,4,1,,Thai,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0
AsianThai2Go,1,5,2015,Richardson,4,1,,Thai,0,5,2.2,2,1,1,1,0,1,4,0,0,0,1,0
AsianThai2Go,1,5,2016,Richardson,4,1,,Thai,1,9,3.777777778,1,0,1,5,2,1,5,0,0,0,0,1
AsianThai2Go,1,5,2017,Richardson,4,1,,Thai,1,6,4.666666667,0,0,0,2,4,0,0,0,0,0,0,0
AtomicPie,3,3,2014,Allen,4,1,Pizza,Italian,4,27,3.888888889,2,1,2,15,7,19,3.157894737,6,3,0,2,8
AtomicPie,3,3,2015,Allen,4,1,Pizza,Italian,1,8,3.75,1,0,2,2,3,6,4.166666667,0,0,1,3,2
AtomicPie,3,3,2016,Allen,4,1,Pizza,Italian,1,12,4.75,0,0,0,3,9,6,4.333333333,1,0,0,0,5
AtomicPie,3,3,2017,Allen,4,1,Pizza,Italian,3,12,4.083333333,0,1,2,4,5,3,4.666666667,0,0,0,1,2
AtriumCafe,48,5,2012,Houston,4,2,,American(New),0,3,4,0,0,0,3,0,0,0,0,0,0,0,0
AtriumCafe,48,5,2013,Houston,4,2,,American(New),1,4,3.75,0,1,0,2,1,0,0,0,0,0,0,0
AtriumCafe,48,5,2014,Houston,4,2,,American(New),0,2,3,0,1,0,1,0,1,2,0,1,0,0,0
AtriumCafe,48,5,2015,Houston,4,2,,American(New),0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
AtriumCafe,48,5,2016,Houston,4,2,,American(New),0,2,4,0,0,0,2,0,1,4,0,0,0,1,0
AwShucks,6,8,2007,Arlington,4,2,,,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1
AwShucks,6,8,2009,Arlington,4,2,,,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
AwShucks,6,8,2010,Arlington,4,2,,,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
AwShucks,6,8,2011,Arlington,4,2,,,1,7,3.714285714,1,0,1,3,2,3,4.666666667,0,0,0,1,2
AwShucks,6,8,2012,Arlington,4,2,,,1,15,3.866666667,0,2,1,9,3,0,0,0,0,0,0,0
AwShucks,6,8,2013,Arlington,4,2,,,7,27,4.074074074,1,0,4,13,9,1,2,0,1,0,0,0
AwShucks,6,8,2014,Arlington,4,2,,,4,26,3.923076923,2,3,1,9,11,3,3.333333333,0,1,1,0,1
AwShucks,6,8,2015,Arlington,4,2,,,3,19,4.157894737,0,2,1,8,8,2,4,0,0,0,2,0
AwShucks,6,8,2016,Arlington,4,2,,,7,33,3.818181818,1,3,8,10,11,3,4.333333333,0,0,0,2,1
AwShucks,6,8,2017,Arlington,4,2,,,1,18,3.777777778,3,1,1,5,8,5,4.8,0,0,0,1,4
BBBopSeoulKitchen,67,4,2013,Richardson,4,1,FastFood,Korean,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0
BBBopSeoulKitchen,67,4,2014,Richardson,4,1,FastFood,Korean,22,90,4.4,0,2,6,36,46,20,4.65,0,1,0,4,15
BBBopSeoulKitchen,67,4,2015,Richardson,4,1,FastFood,Korean,20,63,4.317460317,0,2,7,23,31,4,4.5,0,0,1,0,3
BBBopSeoulKitchen,67,4,2016,Richardson,4,1,FastFood,Korean,18,89,3.97752809,2,9,12,32,34,5,4.6,0,0,0,2,3
BBBopSeoulKitchen,67,4,2017,Richardson,4,1,FastFood,Korean,9,46,4.195652174,0,3,4,20,19,1,5,0,0,0,0,1
BaLeRestaurant,2,5,2012,Dallas,4,1,,Vietnamese,0,2,4.5,0,0,0,1,1,0,0,0,0,0,0,0
BaLeRestaurant,2,5,2013,Dallas,4,1,,Vietnamese,1,3,4.333333333,0,0,0,2,1,1,5,0,0,0,0,1
BaLeRestaurant,2,5,2014,Dallas,4,1,,Vietnamese,4,15,4.2,0,1,2,5,7,0,0,0,0,0,0,0
BaLeRestaurant,2,5,2015,Dallas,4,1,,Vietnamese,4,17,4,1,0,2,9,5,4,3.75,1,0,0,1,2
BaLeRestaurant,2,5,2016,Dallas,4,1,,Vietnamese,4,23,4.173913043,0,2,2,9,10,1,1,1,0,0,0,0
BaLeRestaurant,2,5,2017,Dallas,4,1,,Vietnamese,3,11,3.909090909,0,1,2,5,3,0,0,0,0,0,0,0
